dt,c_kwH
17/01/2024 22:00,10.81
17/01/2024 23:00,10
18/01/2024 0:00,9.28
18/01/2024 1:00,8.35
18/01/2024 2:00,8.02
18/01/2024 3:00,7.7
18/01/2024 4:00,7.47
18/01/2024 5:00,7.42
18/01/2024 6:00,7.6
18/01/2024 7:00,8.14
18/01/2024 8:00,9.9
18/01/2024 9:00,11.27
18/01/2024 10:00,12.73
18/01/2024 11:00,12.35
18/01/2024 12:00,11.8
18/01/2024 13:00,11.45
18/01/2024 14:00,10.88
18/01/2024 15:00,10.5
18/01/2024 16:00,10.54
18/01/2024 17:00,10.83
18/01/2024 18:00,11.22
18/01/2024 19:00,11.44
18/01/2024 20:00,10.89
18/01/2024 21:00,10.63
18/01/2024 22:00,10.03
18/01/2024 23:00,8.46
19/01/2024 0:00,8.25
19/01/2024 1:00,7.36
19/01/2024 2:00,5.96
19/01/2024 3:00,4.94
19/01/2024 4:00,6.05
19/01/2024 5:00,6.28
19/01/2024 6:00,6.33
19/01/2024 7:00,6.75
19/01/2024 8:00,7.82
19/01/2024 9:00,9.31
19/01/2024 10:00,10.43
19/01/2024 11:00,10.3
19/01/2024 12:00,9.5
19/01/2024 13:00,8.67
19/01/2024 14:00,7.82
19/01/2024 15:00,7.42
19/01/2024 16:00,7.6
19/01/2024 17:00,9.35
19/01/2024 18:00,9.89
19/01/2024 19:00,10.69
19/01/2024 20:00,10.72
19/01/2024 21:00,9.81
19/01/2024 22:00,9.79
19/01/2024 23:00,7.44
20/01/2024 0:00,7.91
20/01/2024 1:00,6.74
20/01/2024 2:00,6.91
20/01/2024 3:00,6.43
20/01/2024 4:00,6.52
20/01/2024 5:00,6.27
20/01/2024 6:00,6.22
20/01/2024 7:00,6.27
20/01/2024 8:00,6.45
20/01/2024 9:00,6.92
20/01/2024 10:00,7.72
20/01/2024 11:00,8.06
20/01/2024 12:00,7.46
20/01/2024 13:00,7.23
20/01/2024 14:00,6.95
20/01/2024 15:00,6.9
20/01/2024 16:00,7.34
20/01/2024 17:00,9.04
20/01/2024 18:00,10
20/01/2024 19:00,10.5
20/01/2024 20:00,10.5
20/01/2024 21:00,9.32
20/01/2024 22:00,8.9
20/01/2024 23:00,7.64
21/01/2024 0:00,7.54
21/01/2024 1:00,6.91
21/01/2024 2:00,6.95
21/01/2024 3:00,5.8
21/01/2024 4:00,5.52
21/01/2024 5:00,5.09
21/01/2024 6:00,5.37
21/01/2024 7:00,6.12
21/01/2024 8:00,6.14
21/01/2024 9:00,6.47
21/01/2024 10:00,6.63
21/01/2024 11:00,5.9
21/01/2024 12:00,5.47
21/01/2024 13:00,5.1
21/01/2024 14:00,4.63
21/01/2024 15:00,4.7
21/01/2024 16:00,5.58
21/01/2024 17:00,7.1
21/01/2024 18:00,9.5
21/01/2024 19:00,9.88
21/01/2024 20:00,10.19
21/01/2024 21:00,9.87
21/01/2024 22:00,9.4
21/01/2024 23:00,6.9
22/01/2024 0:00,6.51
22/01/2024 1:00,6.05
22/01/2024 2:00,5.16
22/01/2024 3:00,5.4
22/01/2024 4:00,5.08
22/01/2024 5:00,4.42
22/01/2024 6:00,4.93
22/01/2024 7:00,9.57
22/01/2024 8:00,10.6
22/01/2024 9:00,11.45
22/01/2024 10:00,12.2
22/01/2024 11:00,10.93
22/01/2024 12:00,8.18
22/01/2024 13:00,7.83
22/01/2024 14:00,6.77
22/01/2024 15:00,8.32
22/01/2024 16:00,9.04
22/01/2024 17:00,11.34
22/01/2024 18:00,12.2
22/01/2024 19:00,13.18
22/01/2024 20:00,12.2
22/01/2024 21:00,11.45
22/01/2024 22:00,10.86
22/01/2024 23:00,9.98
23/01/2024 0:00,9.75
23/01/2024 1:00,9
23/01/2024 2:00,7.59
23/01/2024 3:00,7.2
23/01/2024 4:00,6.51
23/01/2024 5:00,6.51
23/01/2024 6:00,7.03
23/01/2024 7:00,12.2
23/01/2024 8:00,12.2
23/01/2024 9:00,12.2
23/01/2024 10:00,12.2
23/01/2024 11:00,10.12
23/01/2024 12:00,8.71
23/01/2024 13:00,6.76
23/01/2024 14:00,6.14
23/01/2024 15:00,6.59
23/01/2024 16:00,8.81
23/01/2024 17:00,11.79
23/01/2024 18:00,14.13
23/01/2024 19:00,17.46
23/01/2024 20:00,15.42
23/01/2024 21:00,12.2
23/01/2024 22:00,12.2
23/01/2024 23:00,9.79
24/01/2024 0:00,9.41
24/01/2024 1:00,8.94
24/01/2024 2:00,7.64
24/01/2024 3:00,7.16
24/01/2024 4:00,6.57
24/01/2024 5:00,5.29
24/01/2024 6:00,5.31
24/01/2024 7:00,7.9
24/01/2024 8:00,9.7
24/01/2024 9:00,12.2
24/01/2024 10:00,12.2
24/01/2024 11:00,10.72
24/01/2024 12:00,9.5
24/01/2024 13:00,9.39
24/01/2024 14:00,9.16
24/01/2024 15:00,9.43
24/01/2024 16:00,10.09
24/01/2024 17:00,10.1
24/01/2024 18:00,11.19
24/01/2024 19:00,12.2
24/01/2024 20:00,12.2
24/01/2024 21:00,11.93
24/01/2024 22:00,9.36
