var,coef,std_err,t,p_value,lower_ci,upper_ci
district_Ratchathewi,983687.1967319986,180224.77718086774,5.458112986011918,4.920147416929268e-08,630412.959969813,1336961.4334941842
district_Sai Mai,-630558.3196015506,138448.5148213409,-4.554460699092702,5.3103576078402025e-06,-901943.2765949088,-359173.3626081924
district_Sai Noi,-927458.7673890223,126565.99847875882,-7.327866714097585,2.50795798794265e-13,-1175551.7722024252,-679365.7625756195
district_Saphan Sung,-851938.1714190124,171372.47207287277,-4.971266161444777,6.7553531243195e-07,-1187860.2361905817,-516016.106647443
district_Sathon,1173489.2633711775,239149.12208447067,4.906935275960099,9.388103993858428e-07,704712.3010784097,1642266.2256639453
district_Suan Luang,-237165.69282880062,132160.50103629802,-1.794527797406449,0.07275732600889223,-496224.96794085007,21893.582283248834
district_Taling Chan,-607689.6903772103,248582.58165048272,-2.4446189525525437,0.014516628212566005,-1094957.995982143,-120421.3847722775
district_Thawi Watthana,-56017.568692453206,359202.1051579905,-0.1559500010942714,0.8760753890936533,-760120.8087020656,648085.6713171592
district_Thon Buri,623972.7792032317,225904.90677397235,2.7621037015700747,0.0057528729577966,181156.95348956366,1066788.6049168997
district_Thung Khru,-1381397.8610938906,169039.93517105066,-8.172020769506691,3.3765044767453e-16,-1712747.7177229365,-1050048.0044648447
district_Wang Thonglang,-75096.82133597144,152623.90440144687,-0.49203839746127953,0.622702344934076,-374268.19045896095,224074.5477870181
district_Watthana,1962196.199407884,115112.10742648647,17.04595844239054,2.6609603046181327e-64,1736554.9611203896,2187837.437695378
district_Yan Nawa,-45099.94146924146,198143.76378635195,-0.22761221755063846,0.8199520919088553,-433498.7399904984,343298.8570520155
year_built_bin_2001_2005,-656372.5948723578,124591.13083602981,-5.268212837205785,1.4044863789697054e-07,-900594.4901185601,-412150.69962615543
year_built_bin_2006_2010,-88815.78695550527,55490.14474660899,-1.6005686660410599,0.10950215864994328,-197586.83852689003,19955.264615879496
year_built_bin_2011_2015,55265.00933193485,47489.782502626775,1.1637242038090616,0.24456187779097519,-37823.83744067568,148353.85610454538
year_built_bin_2016_2020,599771.455175914,44866.72256805661,13.367846386955135,1.9728676242990304e-40,511824.29597180453,687718.6143800234
year_built_bin_2021_,1084013.2954467856,69272.18181711523,15.648609109911941,1.3746372183858476e-54,948226.8761592015,1219799.71473437
year_built_bin__2000,-893627.4355136359,124907.29105028862,-7.1543256442400525,8.961602745694229e-13,-1138469.0638516692,-648785.8071756025
nearest_station_name_A2 Lat Krabang Airport Link,300832.73105947097,255069.00483768934,1.1794170414821783,0.23825850840498194,-199150.17592614377,800815.6380450857
nearest_station_name_A3 Ban Thap Chang Airport Link,1029275.6573126598,277621.57712266356,3.707477163627982,0.00021039694243973474,485085.49488956085,1573465.8197357587
nearest_station_name_A4 Hua Mak Airport Link,943730.1313082114,229218.32829980325,4.117166974858447,3.864534649194267e-05,494419.38031889946,1393040.8822975233
nearest_station_name_A5 Ramkhamhaeng Airport Link,1254641.3822514447,139528.7298840641,8.991993142157458,2.839213356864368e-19,981139.0019060267,1528143.7625968629
nearest_station_name_A6 Makkasan Airport Link,1381318.9034849952,214628.36721650275,6.435863634426353,1.2805311413676833e-10,960607.2022307834,1802030.604739207
nearest_station_name_A7 Ratchaprarop Airport Link,1210548.1710624509,233600.8838431642,5.182121536300321,2.233938026058542e-07,752646.7923644141,1668449.5497604876
nearest_station_name_A8 Phaya Thai Airport Link,1540002.0570947663,286674.7931885411,5.371947913404209,7.953214991589308e-08,978065.8996650743,2101938.214524458
nearest_station_name_B1 Sathorn BRT,8.568765419918475e-10,1.8728842709465077e-09,0.45751707955708554,0.6473087653738001,-2.8143265617774404e-09,4.528079645761135e-09
nearest_station_name_B10 Charoenrat BRT,-205406.95940677135,323795.95811720093,-0.6343715980927174,0.5258519714431431,-840107.5358748889,429293.6170613462
nearest_station_name_B11 Rama III Bridge BRT,576863.5054749333,450943.86516816146,1.2792357320568386,0.2008419371388536,-307070.7253328373,1460797.736282704
nearest_station_name_B12 Ratchaphruek BRT,-514641.7102400478,265375.0897189424,-1.939299241632297,0.052491297253092574,-1034826.4691984194,5543.048718323815
nearest_station_name_B2 Arkan Songkhro BRT,1393604.5619203234,275853.7575965573,5.051968746274985,4.445327453805491e-07,852879.6560706407,1934329.467770006
nearest_station_name_B3 Technic Krungthep BRT,-145928.6807569915,298412.56130799325,-0.4890165484903221,0.6248400550556874,-730873.0568043131,439015.6952903301
nearest_station_name_B4 Thanon Chan BRT,1176666.4670814297,225026.6252672288,5.229009970193916,1.7365275752289392e-07,735572.2372205105,1617760.696942349
nearest_station_name_B5 Nararam 3 BRT,1586299.6536957896,264134.7285202815,6.0056459163187474,1.967984646894322e-09,1068546.2344378778,2104053.0729537015
nearest_station_name_B6 Wat Dan BRT,1601078.5164421014,324893.0965571233,4.928016425737125,8.431987688528812e-07,964227.3436406227,2237929.68924358
nearest_station_name_B7 Wat Pariwat BRT,973509.2127523245,298531.3912522077,3.2609944591383915,0.001113713635560328,388331.9078119645,1558686.5176926847
nearest_station_name_B8 Wat Dokmai BRT,484883.41085186397,265104.6200531293,1.8290266339179189,0.0674235767793831,-34771.177026525955,1004537.9987302539
nearest_station_name_B9 Rama IX Bridge BRT,1901299.5487657627,991623.523577218,1.9173602718771203,0.055218908824450505,-42467.83398209349,3845066.9315136187
nearest_station_name_BL01 Tha Phra MRT,275816.53954308387,1043237.8322026106,0.26438510091293993,0.7914883088322217,-1769124.5318111088,2320757.6108972766
nearest_station_name_BL02 Charan 13 MRT,118847.40534395748,1106580.6167121725,0.10740058478258192,0.9144732144185301,-2050257.3587168704,2287952.169404785
nearest_station_name_BL03 Fai Chai MRT,757783.3612980434,357214.5058728183,2.1213678303642087,0.033913901962564726,57576.18725362071,1457990.535342466
nearest_station_name_BL04 Bang Khun Non MRT,1363499.3559435795,390431.19264523993,3.492291040338329,0.00048083907278411673,598181.2695659464,2128817.4423212125
nearest_station_name_BL05 Bang Yi Khan MRT,1166731.3960189135,301994.000571346,3.863425742933835,0.00011247088939275699,574766.7298535393,1758696.0621842877
